feature,importance
pca_41,0.0020504491
pca_84,0.0020471578
pca_144,0.0020381948
pca_347,0.0020370842
pca_306,0.002034545
pca_312,0.0020249432
pca_35,0.0020201963
pca_366,0.0020179178
pca_331,0.0020093983
pca_75,0.0020003337
pca_202,0.0019910056
pca_252,0.0019802996
pca_318,0.0019776085
pca_48,0.0019688953
pca_362,0.0019669977
pca_378,0.0019657922
pca_296,0.0019559257
pca_17,0.0019492626
pca_22,0.0019457949
pca_124,0.001943797
pca_379,0.0019354543
pca_221,0.0019272189
pca_9,0.001926481
pca_351,0.0019257708
pca_111,0.0019246638
pca_382,0.001922918
pca_267,0.0019215625
pca_188,0.0019112689
pca_16,0.0019057475
pca_255,0.0019039129
pca_348,0.0019021555
pca_175,0.0019012294
pca_166,0.001894992
pca_205,0.0018930366
pca_1,0.0018819007
pca_154,0.0018789447
pca_101,0.0018770886
pca_217,0.001873641
pca_47,0.0018673621
pca_105,0.0018640243
pca_244,0.0018562576
pca_196,0.0018556628
pca_226,0.0018529476
pca_151,0.0018471031
pca_109,0.0018441152
pca_60,0.0018400567
pca_292,0.0018391381
pca_361,0.0018334762
pca_152,0.0018313971
pca_337,0.0018292924
pca_343,0.0018285727
pca_344,0.0018255219
pca_289,0.0018210475
pca_26,0.0018161698
pca_223,0.0018103819
pca_8,0.0018077716
pca_327,0.001807026
ns,0.0018005935
pca_210,0.0017996294
pca_73,0.0017852798
pca_165,0.0017759304
pca_153,0.0017703214
pca_63,0.0017645195
pca_199,0.0017600415
pca_230,0.0017592221
pca_137,0.0017544755
pca_383,0.0017373954
pca_89,0.0017351401
pca_247,0.0017241049
pca_182,0.0017205363
pca_145,0.0017173827
pca_222,0.0017146622
pca_176,0.0017126766
pca_13,0.0017085568
pca_2,0.0017043256
pca_157,0.0017040609
pca_106,0.001701511
pca_163,0.0016861339
pca_364,0.0016836915
pca_360,0.0016805016
pca_24,0.0016728863
pca_303,0.0016659288
pca_259,0.0016658687
pca_218,0.0016646293
pca_139,0.001656518
ent,0.00165046
pca_216,0.0016498176
pca_52,0.0016458275
pca_328,0.0016333483
pca_50,0.0016252217
pca_156,0.001613717
pca_201,0.0016042084
pca_40,0.0015901974
pca_187,0.0015870895
pca_62,0.0015852054
pca_238,0.0015682053
pca_204,0.0015666746
pca_264,0.0015578459
pca_85,0.0015574669
pca_69,0.001557346
pca_119,0.0015474677
pca_141,0.0015433971
pca_136,0.0015324462
pca_56,0.0015303654
pca_329,0.0015293085
pca_20,0.0015216155
pca_118,0.0015210116
pca_177,0.0015180412
pca_224,0.0015052224
pca_384,0.001489897
pca_370,0.0014847333
pca_304,0.0014581636
pca_211,0.0014392517
pca_320,0.0014386073
pca_352,0.0014051313
pca_273,0.0013979973
pca_245,0.0013871765
pca_346,0.0013660743
nf,0.001365022
pca_115,0.0013646408
pca_365,0.0013489373
pca_377,0.0013397298
pca_3,0.0013388614
pca_33,0.0013373065
pca_334,0.0013101082
pca_87,0.0012935898
pca_68,0.0012677186
pca_169,0.0012609727
pca_262,0.0012542079
pca_374,0.0012503605
pca_49,0.0012474671
pca_297,0.0012388168
pca_170,0.0012343376
pca_34,0.0012338308
pca_6,0.0012245714
pca_243,0.0012177444
pca_61,0.0012177166
pca_294,0.00120913
pca_381,0.0011577038
pca_251,0.0011414195
pca_367,0.0011320742
pca_142,0.0011156988
pca_189,0.0011133875
pca_104,0.001098515
pca_116,0.0010878649
pca_46,0.0010700426
pca_234,0.0010612602
pca_178,0.0010347959
pca_172,0.00087173807
pca_288,0.0007976507
pca_290,0.0007585606
pca_12,0.0005488855
