feature,importance
pca_266,0.0021119676502585807
pca_217,0.0021080559799761082
pca_206,0.002106806704016628
pca_64,0.0021051174278304886
pca_115,0.0021009294313790255
pca_383,0.0020989628539518144
pca_200,0.0020855072864242262
pca_203,0.0020832926731703186
pca_178,0.002080094544539933
pca_23,0.002078600141689681
pca_81,0.002077068519359068
pca_252,0.00207424923068647
pca_15,0.002072327960899855
pca_3,0.002072184342098761
pca_9,0.0020693317703947816
pca_303,0.002062899844455363
pca_73,0.0020627141211554496
pca_242,0.0020595522726262827
pca_309,0.0020535708067396428
pca_2,0.0020527372719881896
pca_294,0.002052325414721194
pca_103,0.002049895759883144
pca_145,0.0020495535961730935
pca_150,0.0020491319155391584
pca_52,0.0020481548008359006
pca_177,0.0020461861980640254
pca_238,0.0020461793982955922
pca_349,0.0020429775320660306
pca_233,0.002033196508341995
pca_27,0.002028733579424771
pca_131,0.00201774822243569
pca_32,0.002013206732338749
pca_126,0.0020111175357813036
pca_219,0.002006787995833639
pca_276,0.0020007520543856073
pca_363,0.00200019375100572
pca_93,0.0020001663138759025
pca_132,0.001998504283983222
pca_91,0.0019954751329201662
pca_329,0.0019947770985670145
pca_324,0.00199473094735414
pca_372,0.001993888363982483
pca_318,0.0019925624163680583
pca_263,0.001988337781142243
pca_244,0.0019859355683100664
pca_380,0.0019848443560098556
pca_254,0.001982688764768954
pca_300,0.0019821912390778716
pca_113,0.00198075801612741
pca_353,0.0019728689229715217
pca_16,0.00197025995338449
pca_295,0.0019656023398599877
pca_257,0.001965528630742672
pca_105,0.00196122537481784
pca_71,0.001961129902705668
pca_58,0.0019594987745947903
pca_136,0.0019569817710391453
pca_154,0.0019535141953825413
pca_70,0.001952770859842542
pca_122,0.0019505322001177397
pca_30,0.001947739091599321
pca_365,0.0019436594682152005
pca_374,0.0019407039592396758
pca_149,0.0019391426783231997
pca_152,0.0019324144174751806
pca_198,0.0019289408371307845
pca_311,0.0019286817013633426
pca_253,0.0019272428115256635
pca_195,0.0019256165831240731
pca_211,0.0019240719308218379
pca_101,0.0019222189674307927
pca_313,0.0019135892392169037
pca_33,0.001911670094490266
pca_342,0.0019105768152825279
pca_119,0.001910490239750527
pca_224,0.0019102258057173437
pca_275,0.001908737241579155
pca_199,0.00190634659773701
pca_157,0.0019060480114622017
pca_225,0.0019008566439547062
pca_347,0.0019008449142506887
pca_25,0.0018986764785200794
pca_107,0.0018926289725457706
pca_80,0.001884259181281202
pca_42,0.0018831359503213943
pca_186,0.0018830356573278494
pca_249,0.0018808570544749652
pca_140,0.0018806272309935246
pca_205,0.0018805377164834028
pca_109,0.0018785306775897246
pca_44,0.0018780373073787968
pca_201,0.0018771111693248865
pca_378,0.0018695363250796917
pca_98,0.0018689604451705868
pca_40,0.001867399816141179
pca_116,0.0018620754693497166
pca_216,0.0018608435736533707
pca_322,0.0018583709104692593
pca_212,0.0018540553645833486
pca_218,0.0018525557520598765
pca_173,0.0018474803104029242
pca_83,0.001844983610458826
pca_250,0.0018439073800469124
pca_183,0.0018422723175700129
pca_168,0.0018374022237009002
pca_56,0.001836873632781349
pca_49,0.00183657911063551
pca_182,0.0018325879953693855
pca_159,0.0018302629250825072
pca_234,0.0018293744530200578
pca_96,0.0018284626701858201
pca_221,0.0018184883204728974
pca_59,0.0018180511115390512
pca_123,0.001817607451952139
pca_316,0.0018146794497437906
pca_335,0.0018144071037550376
pca_190,0.001810209882342771
pca_108,0.0018098624960576608
pca_167,0.0018048154905903324
pca_333,0.0018020819575258996
pca_144,0.0017948392532518723
pca_351,0.0017948044882437437
pca_338,0.0017916390602828068
pca_78,0.0017908017572198951
pca_60,0.001790496177572518
pca_304,0.0017863810885400864
pca_214,0.0017843538208311318
pca_84,0.00177850735814688
pca_274,0.0017766808801418339
pca_151,0.0017746089105729946
pca_356,0.0017692477111554404
pca_128,0.0017691466759068117
pca_20,0.001768771126205089
pca_13,0.0017639343652301675
pca_137,0.0017628278713728981
pca_121,0.0017625397673613765
pca_169,0.001762013302268582
pca_143,0.0017605063831859949
pca_299,0.0017561307148257898
pca_344,0.0017545291757959513
pca_264,0.00174820978081639
pca_273,0.0017476802300479372
pca_382,0.0017462905087855883
pca_7,0.0017455767457170185
pca_95,0.0017435821128905784
pca_29,0.0017404999870278388
pca_317,0.0017401784105114213
pca_246,0.0017379253740576947
pca_184,0.0017360639441174697
pca_160,0.0017351269808887476
pca_237,0.0017338993603214876
pca_352,0.0017301509795444759
pca_310,0.0017288867755028742
pca_239,0.0017280000188541168
pca_193,0.0017268060002718294
pca_181,0.0017230922879845026
pca_292,0.0017216912280842616
pca_243,0.0017214885560248912
pca_248,0.0017098792932090867
pca_227,0.0017087514658232971
pca_139,0.0017074578902478758
pca_62,0.0017043641871298133
pca_355,0.0017037723922676017
pca_117,0.0016974303169047672
pca_124,0.0016970982947263414
pca_270,0.0016884970440119876
pca_220,0.0016866814264596605
pca_265,0.0016848671088929173
pca_354,0.0016812522987029298
pca_247,0.001680217197271703
pca_337,0.0016800266896158415
pca_339,0.0016794458291864462
pca_367,0.0016778593050933597
pca_369,0.0016740019852359168
pca_61,0.0016733020667289446
pca_287,0.0016709869341238403
pca_328,0.0016702197618565042
pca_314,0.001662603010448381
pca_306,0.0016577558366233892
pca_75,0.0016571703277351993
pca_189,0.0016567682776505222
pca_259,0.001651489897103908
pca_172,0.0016462408058342355
pca_85,0.0016443055603276519
pca_330,0.001643428349335662
pca_315,0.0016424408924601145
pca_57,0.0016399428589723558
pca_307,0.0016396023589609473
pca_375,0.001632147373331956
pca_362,0.0016311766872950737
pca_321,0.0016310092267015786
pca_251,0.0016305541729550752
pca_381,0.0016290982347423192
pca_290,0.0016286581159805657
pca_170,0.0016267185190793811
pca_163,0.001620754463781914
pca_293,0.0016143167598201436
pca_12,0.0016111319354710643
pca_261,0.0016058249430456098
pca_268,0.0016046427458012843
pca_90,0.0015985142914659958
pca_141,0.0015955247335245307
pca_277,0.001591649454548104
pca_258,0.0015899245186029372
pca_111,0.0015877523054121689
pca_286,0.0015877393323592433
pca_166,0.001586787797389514
pca_43,0.0015860240115616736
pca_222,0.0015841603768576775
pca_130,0.0015780201089001667
pca_230,0.0015633994581682523
pca_384,0.0015615416558353876
pca_341,0.0015578872291474421
pca_332,0.0015563309250260207
pca_196,0.0015527709653826956
pca_327,0.0015524419022096487
pca_204,0.0015514469296414276
pca_156,0.0015453875793400007
pca_118,0.0015399128753565872
pca_223,0.0015304834119331868
pca_269,0.0015258238209306257
pca_305,0.0015155773541024576
pca_245,0.001513251398468802
pca_361,0.0015108107208361206
pca_267,0.001510686060547549
pca_164,0.0015106454766786743
pca_296,0.0015080403606502132
pca_302,0.0015027275103209148
pca_289,0.0014994842570703465
pca_158,0.0014969059240225863
pca_213,0.0014847985518670905
pca_320,0.0014678589921347301
pca_79,0.0014639303931101822
pca_104,0.0014600980526502016
pca_65,0.0014544902817704428
pca_360,0.0014485306600025016
pca_288,0.0014442315711465795
pca_285,0.0014421848974645562
pca_262,0.0014296957774461144
pca_176,0.001425057078860964
pca_138,0.001421098896913049
pca_301,0.0014132497753653248
pca_94,0.001399370442700312
pca_175,0.0013928757306983217
pca_226,0.001391169788465949
pca_331,0.0013737094515630852
pca_76,0.0013722294941077625
pca_370,0.0013648671026879474
pca_106,0.0013549540933014837
pca_46,0.0013424366130290225
pca_48,0.0013405515442623287
pca_368,0.0013395280688470366
pca_255,0.0013282694352379429
pca_210,0.0013149739963245137
pca_68,0.0013120911661053752
pca_209,0.0013090665202668867
pca_336,0.0012623590265194787
pca_155,0.0012042889158540336
