split,feature,language,category,count,percentage_within_language
test,intent,Python,PF,28,1.556420233463035
test,intent,Python,RF,103,5.725403001667593
test,intent,Python,SC,260,14.452473596442468
test,intent,Python,TS,148,8.226792662590327
test,change,C++,AP,67,3.7222222222222223
test,change,C++,BL,45,2.5
test,change,C++,CF,76,4.222222222222222
test,change,C++,DA,33,1.8333333333333333
test,change,C++,DC,38,2.111111111111111
test,change,C++,DP,24,1.3333333333333333
test,change,C++,LG,759,42.166666666666664
test,change,C++,OT,529,29.38888888888889
test,change,C++,TS,54,3.0
test,change,C++,UI,175,9.722222222222221
test,change,Java,AP,428,7.924458433623403
test,change,Java,BL,122,2.2588409553786337
test,change,Java,CF,393,7.27643029068691
test,change,Java,DA,189,3.4993519718570636
test,change,Java,DC,259,4.79540825773005
test,change,Java,DP,84,1.5552675430475837
test,change,Java,LG,1413,26.16182188483614
test,change,Java,OT,1604,29.698204036289575
test,change,Java,TS,454,8.405850768376226
test,change,Java,UI,455,8.424365858174411
test,change,Python,AP,51,2.8349082823790996
test,change,Python,BL,28,1.556420233463035
test,change,Python,CF,41,2.2790439132851583
test,change,Python,DA,38,2.112284602556976
test,change,Python,DC,66,3.668704836020011
test,change,Python,DP,18,1.000555864369094
test,change,Python,LG,778,43.24624791550862
test,change,Python,OT,550,30.57254030016676
test,change,Python,TS,168,9.33852140077821
test,change,Python,UI,61,3.3907726514730405
test,risk,C++,H,198,11.0
test,risk,C++,L,214,11.88888888888889
test,risk,C++,M,1388,77.11111111111111
test,risk,Java,H,591,10.942418070727642
test,risk,Java,L,916,16.959822255137937
test,risk,Java,M,3894,72.09775967413442
test,risk,Python,H,187,10.394663702056699
test,risk,Python,L,183,10.172317954419121
test,risk,Python,M,1429,79.43301834352418
test,complexity,C++,H,69,3.8333333333333335
test,complexity,C++,L,238,13.222222222222221
test,complexity,C++,M,1493,82.94444444444444
test,complexity,Java,H,442,8.183669690798
test,complexity,Java,L,827,15.311979263099426
test,complexity,Java,M,4132,76.50435104610257
test,complexity,Python,H,53,2.946081156197888
test,complexity,Python,L,177,9.838799332962758
test,complexity,Python,M,1569,87.21511951083936
test,scope,C++,C,110,6.111111111111111
test,scope,C++,F,76,4.222222222222222
test,scope,C++,L,158,8.777777777777779
test,scope,C++,M,1456,80.88888888888889
test,scope,Java,C,563,10.423995556378449
test,scope,Java,F,432,7.998518792816145
test,scope,Java,L,632,11.701536752453249
test,scope,Java,M,3774,69.87594889835216
test,scope,Python,C,84,4.669260700389105
test,scope,Python,F,46,2.5569760978321288
test,scope,Python,L,161,8.949416342412452
test,scope,Python,M,1508,83.82434685936632
test,test,C++,H,100,5.555555555555555
test,test,C++,L,187,10.38888888888889
test,test,C++,M,1422,79.0
test,test,C++,N,91,5.055555555555555
test,test,Java,H,503,9.313090168487317
test,test,Java,L,683,12.645806332160712
